image_path,text,true_label,true_top2_labels,true_top3_labels,pred_label,correct,relaxed_top2_correct,relaxed_top3_correct
mmimdb/images/1114751.jpg,"A visa problem forces Adrien back to Paris after 15 years in Senegal with his wife Aminata. Her cousin Sékou, now distanced from his Senegalese origins, takes in Adrien. As Adrien awaits his return, Sékou shows him France, sparking surprises.",2,"[2, 2]","[2, 2, 2]",8,0,0,0
mmimdb/images/257955.jpg,"Julia is the ultimate evil stepmother, beautiful and devious. She dupes her noble born step daughter Nora into a journey that ends with her being kidnapped and sold to Julia's beautiful cousin Anthea. Nora finds her privileged life of nobility over as she wakes up to the nightmare of slave tears of Rome.",8,"[8, 8]","[8, 8, 8]",6,0,0,0
mmimdb/images/104894.jpg,"Four friends arrange a kinky sex party at the top of a luxury hotel, where a dominatrix and her gimp await for the guests. Once they start using drugs to spice things up, the party takes a bloody turn.",6,"[6, 6]","[6, 6, 6]",2,0,0,0
mmimdb/images/845638.jpg,Toho Company 3rd version (2015 - ),7,"[7, 7]","[7, 7, 7]",2,0,0,0
mmimdb/images/19904.jpg,"Michael Harding returns home from military school to find his mother happily in love and living with her new boyfriend, David. As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?",6,"[6, 6]","[6, 6, 6]",8,0,0,0
mmimdb/images/1483874.jpg,"Jonathan has to fight to save the life of his son, David Ozora, who was assaulted by the son of a High-Ranking Government Official, until he fell into a Coma. David Ozora’s condition then becomes Viral, and together with all the people of Indonesia of various Religions and beliefs, they hold a Prayer together hoping for a miracle for the recovery of the Child. Along with his two friends, Mellissa and Rustam, Jonathan continues to fight for justice, where Dennis, the assailant, continues to receive help and leniency from a system whose integrity is questioned in enforcing the Law, due to the role and position of his father who claims to be the Ruler of South Jakarta.",3,"[3, 3]","[3, 3, 3]",5,0,0,0
mmimdb/images/226.jpg,A young transgender man explores his gender identity and searches for love in rural Nebraska.,3,"[3, 3]","[3, 3, 3]",8,0,0,0
mmimdb/images/1175174.jpg,"A new servant embarks on an unlikely relationship with the youngest daughter of a prominent English family. Simultaneously, rivalries are spilling over in the Davenport family, led by the Lord and Lady as they also weather the epic failure of the wedding of their eldest daughter to her caddish cousin.",2,"[2, 2]","[2, 2, 2]",5,0,0,0
mmimdb/images/1481746.jpg,"A dedicated park ranger has protected his population of critically endangered black rhinos so well that they have run out of space. Cornered by ruthless poachers, the rhinos are at risk of turning on each other. His team must implement a daring plan to move 21 rhinos across the country and open a new safe haven.",4,"[4, 4]","[4, 4, 4]",9,0,0,0
mmimdb/images/429986.jpg,"Farzana, a lonely young widow known as ""Baaji,"" finds her quiet life disrupted when her cousin Nasir visits. A tragic misunderstanding leads her to believe Nasir intends to marry her, unaware that his heart actually belongs to another.",7,"[7, 7]","[7, 7, 7]",8,0,0,0
mmimdb/images/4256.jpg,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",2,"[2, 2]","[2, 2, 2]",9,0,0,0
mmimdb/images/938876.jpg,"A young man who aspires to become a big-shot businessman, finds himself in a twist of fate. Despite trying his hand at various jobs, success eludes him, and he unexpectedly ends up in Osaka's Shinimamiya district. With empty pockets, he stumbles upon an invitation to the 'Gokuraku Toruko' establishment, becoming a patron. Led by the enchanting Ibohachi, he becomes entangled with the charismatic hostesses, including the captivating Tama. This leads him to infiltrate Tama's apartment complex, Sakura-so. Within its walls reside a colorful cast of characters, from hostesses Chie, Akemi, Yukari, and Kayoko to the quirky parasites like Masao, Tetsuo, Arima, and more. Seeking a fresh start, He embarks on a journey as a 'parasite,' but things take unexpected turns...",2,"[2, 2]","[2, 2, 2]",3,0,0,0
mmimdb/images/83533.jpg,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",9,"[9, 9]","[9, 9, 9]",0,0,0,0
mmimdb/images/1310879.jpg,"As a volcano threatens northern Tenerife, the spark between a headstrong scientist and a disciplined pilot tests their ability to resolve the crisis.",8,"[8, 8]","[8, 8, 8]",9,0,0,0
mmimdb/images/665754.jpg,"Indy and Olivia are crazy about making slime, but they run into trouble when a big toy factory boss starts an anti-slime campaign to increase his own toy sales.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/1088226.jpg,"Artem loves Yulia, Yulia loves Artem.  They recently graduated from school, moved to Moscow and began an independent life.  In search of part-time jobs, Artem comes up with the idea of creating another image from Yulia - Eva Elfie - and making an amateur video for Pornhub.  Suddenly, the video becomes popular, Eva gets more and more job offers, and Artem becomes the boyfriend and producer of a world celebrity.  The heroes seem to fall into the ""American dream"", but in their personal lives there are more and more problems and doubts.",4,"[4, 4]","[4, 4, 4]",8,0,0,0
mmimdb/images/163212.jpg,"By going to the Philippines, Imamura comes to meet people living in an extreme poverty. He discovers very quickly that some communities are under the control of cruel & armed pirates. Imamura will come to meet those men in order to understand their position.",4,"[4, 4]","[4, 4, 4]",3,0,0,0
mmimdb/images/148.jpg,A solitary nurse bonds with a badly burned patient who survived an accident on an oil rig.,8,"[8, 8]","[8, 8, 8]",3,0,0,0
mmimdb/images/604872.jpg,"Tianhuo Island is as beautiful as a paradise. It almost makes people forget that it is located in the ""Ring of Fire"" the world-famous Pacific Rim volcanic belt. The volcano erupts, and the fates of the people on the island are entangled.",0,"[0, 0]","[0, 0, 0]",4,0,0,0
mmimdb/images/974792.jpg,"Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem and uncertainties of the future, insecurities and secrets surface.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/640344.jpg,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/981616.jpg,"An ordinary high school student– with an incontinent grandmother and extremely horny dad, are visited by an extremely pretty avatar to preform a “mind transfer” on Grandma. But before too long, Dad’s sniffing round to get it on with the great-shaped avatar.",9,"[9, 9]","[9, 9, 9]",2,0,0,0
mmimdb/images/408360.jpg,"Under the oppressive Japanese colonial rule, Deok-hye, the last Princess of the declining Joseon Dynasty, is forced to move to Japan. She spends her days missing home, while struggling to maintain dignity as a princess. After a series of failed tries, Deok-hye makes her final attempt to return home with help of her childhood sweetheart, Jang-han.",0,"[0, 0]","[0, 0, 0]",8,0,0,0
mmimdb/images/370765.jpg,"Jessica Darling – a smart, witty, opinionated girl heading into 7th grade – was never too concerned about where she'd fit in the middle school hierarchy. But before her first day of school, her older sister — the super popular Bethany, now in college—decides to help out by giving her the “It List”—a cheat sheet on how to navigate the middle school maze and rise to the top of the popularity chain. The instructions appear simple enough to follow, but, like life, nothing is as easy as it seems.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/53151.jpg,"A destitute 14-year-old struggles to keep his life together despite harsh abuse at his mother's hands, harsher abuse at his father's, and a growing separation from his slightly older brother.",3,"[3, 3]","[3, 3, 3]",2,0,0,0
mmimdb/images/632725.jpg,A Third part of The Blue Elephant Saga.,6,"[6, 6]","[6, 6, 6]",4,0,0,0
mmimdb/images/743885.jpg,"Approximately half a year after the strip debut that shook Japan, the original strip movie realized in collaboration with SOD and Asakusa Rockza is completely recorded. In addition to the bewitching stage at Rockza, a passionate strip image in the sun will be unveiled for the first time! There is no doubt that it will be the biggest shocking work in 2010! [* This work is an image video] [* Bonus footage, bonus images, etc. are not included]",4,"[4, 4]","[4, 4, 4]",7,0,0,0
mmimdb/images/1088434.jpg,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,0,"[0, 0]","[0, 0, 0]",3,0,0,0
mmimdb/images/1507199.jpg,"When director Sue Thomson’s 89-year-old mum, Margaret, begins to need additional help with day-to-day life, they face a decision that most families will encounter: whether to consider a residential aged-care facility; and, if so, how to find a suitable one amid a sector with a reputation for neglect and mistreatment. Margaret’s story becomes a springboard for an investigation of the political history of aged care in Australia, marred by a 40-year bipartisan privatisation agenda. As we hear from advocates, journalists and senior citizens who have experienced the system, a group of schoolkids discuss the situation we’ve reached with aged care and where we need to go from here – and of what they, and we, can expect in the future.",4,"[4, 4]","[4, 4, 4]",2,0,0,0
mmimdb/images/9619.jpg,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",0,"[0, 0]","[0, 0, 0]",6,0,0,0
mmimdb/images/14000.jpg,"A detective must solve the case of a serial killer who enacts anamorphosis, a painting technique that manipulates the laws of perspective, only with human bodies.",3,"[3, 3]","[3, 3, 3]",6,0,0,0
