image_path,text,true_label,true_top2_labels,true_top3_labels,pred_label,correct,relaxed_top2_correct,relaxed_top3_correct
mmimdb/images/257955.jpg,"Julia is the ultimate evil stepmother, beautiful and devious. She dupes her noble born step daughter Nora into a journey that ends with her being kidnapped and sold to Julia's beautiful cousin Anthea. Nora finds her privileged life of nobility over as she wakes up to the nightmare of slave tears of Rome.",8,"[8, 8]","[8, 8, 8]",5,0,0,0
mmimdb/images/9407.jpg,"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country.",3,"[3, 3]","[3, 3, 3]",6,0,0,0
mmimdb/images/26594.jpg,"Interviews with leading authors, philosophers and scientists, with an in-depth discussion of the Law of Attraction. The audience is shown how they can learn and use 'The Secret' in their everyday lives.",4,"[4, 4]","[4, 4, 4]",6,0,0,0
mmimdb/images/104894.jpg,"Four friends arrange a kinky sex party at the top of a luxury hotel, where a dominatrix and her gimp await for the guests. Once they start using drugs to spice things up, the party takes a bloody turn.",6,"[6, 6]","[6, 6, 6]",4,0,0,0
mmimdb/images/845638.jpg,Toho Company 3rd version (2015 - ),7,"[7, 7]","[7, 7, 7]",5,0,0,0
mmimdb/images/727340.jpg,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other.",0,"[0, 0]","[0, 0, 0]",3,0,0,0
mmimdb/images/1483874.jpg,"Jonathan has to fight to save the life of his son, David Ozora, who was assaulted by the son of a High-Ranking Government Official, until he fell into a Coma. David Ozora’s condition then becomes Viral, and together with all the people of Indonesia of various Religions and beliefs, they hold a Prayer together hoping for a miracle for the recovery of the Child. Along with his two friends, Mellissa and Rustam, Jonathan continues to fight for justice, where Dennis, the assailant, continues to receive help and leniency from a system whose integrity is questioned in enforcing the Law, due to the role and position of his father who claims to be the Ruler of South Jakarta.",3,"[3, 3]","[3, 3, 3]",0,0,0,0
mmimdb/images/1224993.jpg,"Desperation drives two nuns to perform an exorcism no nun should attempt. With a possessed child at the mercy of evil and the opposition of the Catholic Church, they take on the dangerous forbidden rituals themselves, putting their immortal souls in grave danger. They must confront the terrifying cost of their sacrilegious actions, but one goal remains: the boy must be saved at all costs.",6,"[6, 6]","[6, 6, 6]",9,0,0,0
mmimdb/images/212240.jpg,"A case of juvenile violence called ""Horrible Tortures"" shocks the city. The highest sentencing is life in prison. However, one of the most important criminal in the case, Beep, is only sentenced to seven-year imprisonment. The verdict has the other story behind.",3,"[3, 3]","[3, 3, 3]",7,0,0,0
mmimdb/images/38178.jpg,"In 1987, to capitalize on his growing success in Europe, Prince toured extensively to promote the album of the same name and sales increased accordingly. However, the United States remained resistant to his latest album, and sales began to drop; it was at this point that Prince decided to film a live concert promoting the new material, for eventual distribution to theaters in America.  Featuring the band that accompanied Prince on his 1987 Sign o' the Times Tour, including dancer Cat Glover, keyboardist Boni Boyer, bassist Levi Seacer, Jr., guitarist Miko Weaver, drummer Sheila E. and former member of The Revolution keyboardist Dr. Fink, the film sees the group perform live on stage (although ""U Got the Look"" is represented by its promotional music video).",7,"[7, 7]","[7, 7, 7]",0,0,0,0
mmimdb/images/1439892.jpg,"About village schoolchildren-pathfinders, who were busy restoring the memory of the heroic past of their fellow villagers during the Great Patriotic War.",5,"[5, 5]","[5, 5, 5]",4,0,0,0
mmimdb/images/226.jpg,A young transgender man explores his gender identity and searches for love in rural Nebraska.,3,"[3, 3]","[3, 3, 3]",6,0,0,0
mmimdb/images/318580.jpg,"Brothers growing up together in the Sau Mau Ping ghetto finsd themselves involved in a web of revenge, misunderstandings, and betrayal when one of them becomes the witness to a drug deal.",3,"[3, 3]","[3, 3, 3]",0,0,0,0
mmimdb/images/1175174.jpg,"A new servant embarks on an unlikely relationship with the youngest daughter of a prominent English family. Simultaneously, rivalries are spilling over in the Davenport family, led by the Lord and Lady as they also weather the epic failure of the wedding of their eldest daughter to her caddish cousin.",2,"[2, 2]","[2, 2, 2]",4,0,0,0
mmimdb/images/1481746.jpg,"A dedicated park ranger has protected his population of critically endangered black rhinos so well that they have run out of space. Cornered by ruthless poachers, the rhinos are at risk of turning on each other. His team must implement a daring plan to move 21 rhinos across the country and open a new safe haven.",4,"[4, 4]","[4, 4, 4]",5,0,0,0
mmimdb/images/895294.jpg,"On line 6 of the Paris metro, travelers flock. A violinist settles at the foot of a staircase and begins to play in general indifference. He continues to play in a train, without more success, and two days later, in a packed concert hall.",7,"[7, 7]","[7, 7, 7]",6,0,0,0
mmimdb/images/168739.jpg,"Comprised by two love stories: The first story features Donnie Yen as a traffic cop, “Mr. Cool” who never smiles due to a rare disease. He meets and falls in love with Michelle Chen, a patient with amnesia, and spends most of her time looking for her missing fiancé. The second story features Zhendong Ke as a Criminal Intelligence Bureau cop who falls in love with Angela Baby after a 7-day ""game of romantic"" with her. But when his bureau starts monitoring her, he begins to have doubt on her. Is she a criminal?",8,"[8, 8]","[8, 8, 8]",2,0,0,0
mmimdb/images/342375.jpg,"Kagawa gropes Marie on the train but she stops him. In order to get revenge on her, Kagawa followed her and tracked her down to her apartment. A few days later, he meets Yurika. With her help, Kagawa began his revenge on Marie. Marie is a mysterious woman who has relationships with multiple men, including company president Harada, elite businessman Ohmae, and part-time worker Osamu.",3,"[3, 3]","[3, 3, 3]",8,0,0,0
mmimdb/images/37724.jpg,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",0,"[0, 0]","[0, 0, 0]",3,0,0,0
mmimdb/images/8469.jpg,"At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",2,"[2, 2]","[2, 2, 2]",7,0,0,0
mmimdb/images/938876.jpg,"A young man who aspires to become a big-shot businessman, finds himself in a twist of fate. Despite trying his hand at various jobs, success eludes him, and he unexpectedly ends up in Osaka's Shinimamiya district. With empty pockets, he stumbles upon an invitation to the 'Gokuraku Toruko' establishment, becoming a patron. Led by the enchanting Ibohachi, he becomes entangled with the charismatic hostesses, including the captivating Tama. This leads him to infiltrate Tama's apartment complex, Sakura-so. Within its walls reside a colorful cast of characters, from hostesses Chie, Akemi, Yukari, and Kayoko to the quirky parasites like Masao, Tetsuo, Arima, and more. Seeking a fresh start, He embarks on a journey as a 'parasite,' but things take unexpected turns...",2,"[2, 2]","[2, 2, 2]",3,0,0,0
mmimdb/images/83533.jpg,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",9,"[9, 9]","[9, 9, 9]",6,0,0,0
mmimdb/images/1310879.jpg,"As a volcano threatens northern Tenerife, the spark between a headstrong scientist and a disciplined pilot tests their ability to resolve the crisis.",8,"[8, 8]","[8, 8, 8]",2,0,0,0
mmimdb/images/345512.jpg,"Peach is an angel sent to re-unite Urchin and Wei. Urchin can't bring himself to tell Wei he loves her, but things start to develop between him and Peach",8,"[8, 8]","[8, 8, 8]",5,0,0,0
mmimdb/images/277689.jpg,"Two swim-team members, a hairless boy and a hirsute girl, discover the pangs and tangles of first love.",8,"[8, 8]","[8, 8, 8]",4,0,0,0
mmimdb/images/665754.jpg,"Indy and Olivia are crazy about making slime, but they run into trouble when a big toy factory boss starts an anti-slime campaign to increase his own toy sales.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/1088226.jpg,"Artem loves Yulia, Yulia loves Artem.  They recently graduated from school, moved to Moscow and began an independent life.  In search of part-time jobs, Artem comes up with the idea of creating another image from Yulia - Eva Elfie - and making an amateur video for Pornhub.  Suddenly, the video becomes popular, Eva gets more and more job offers, and Artem becomes the boyfriend and producer of a world celebrity.  The heroes seem to fall into the ""American dream"", but in their personal lives there are more and more problems and doubts.",4,"[4, 4]","[4, 4, 4]",2,0,0,0
mmimdb/images/111332.jpg,The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.,4,"[4, 4]","[4, 4, 4]",6,0,0,0
mmimdb/images/13815.jpg,"Death and violence anger twelve year old drug courier Fresh, who sets his rival employers against each other.",3,"[3, 3]","[3, 3, 3]",0,0,0,0
mmimdb/images/636706.jpg,"Six months into a solo mission, a lonely astronaut confronts the cracks in his marriage with help from a mysterious creature he discovers on his ship.",9,"[9, 9]","[9, 9, 9]",6,0,0,0
mmimdb/images/1050281.jpg,"A once-in-a-lifetime live, global original concert event offering fans from around the world a front-row seat to witness the groundbreaking magic of the Rocket Man back at Dodger Stadium and showcasing Elton John as audiences have never seen him before, paying tribute to the icon and the seminal moment in 1975 that cemented his global success.",7,"[7, 7]","[7, 7, 7]",4,0,0,0
mmimdb/images/619166.jpg,"An advocate of the concept ‘thoughts create reality’, Chan-woo endeavors to realize his dream of running a high-end nightclub when he finds himself caught in the center of a power game in the criminal underworld.",3,"[3, 3]","[3, 3, 3]",4,0,0,0
mmimdb/images/604872.jpg,"Tianhuo Island is as beautiful as a paradise. It almost makes people forget that it is located in the ""Ring of Fire"" the world-famous Pacific Rim volcanic belt. The volcano erupts, and the fates of the people on the island are entangled.",0,"[0, 0]","[0, 0, 0]",6,0,0,0
mmimdb/images/974792.jpg,"Batra family has just four days left to vacate their house of 34 years. Amidst the mayhem and uncertainties of the future, insecurities and secrets surface.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/1583381.jpg,"Vicente Espinel is a folk musician struggling to preserve tradition in a world increasingly dominated by reggaeton. His life changes when he crosses paths with Perla, a bold and magnetic urban artist. Their connection sparks a clash between heritage and innovation.",7,"[7, 7]","[7, 7, 7]",4,0,0,0
mmimdb/images/25930.jpg,"Filmed at The Palace of Auburn Hills, Madonna rocks the house in her sold-out Drowned World Tour.",7,"[7, 7]","[7, 7, 7]",0,0,0,0
mmimdb/images/998169.jpg,The documentary gives a voice to all those who have experienced the crazy adventure of shooting Memories of Murder.,4,"[4, 4]","[4, 4, 4]",3,0,0,0
mmimdb/images/640344.jpg,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/135047.jpg,"Los Angeles, 1958: a detective holes up in a downtown hotel awaiting killers to come get him. During the course of one night he will meet various occupants of the hotel and the truth of how he came to be in his present situation will be revealed.",3,"[3, 3]","[3, 3, 3]",4,0,0,0
mmimdb/images/981616.jpg,"An ordinary high school student– with an incontinent grandmother and extremely horny dad, are visited by an extremely pretty avatar to preform a “mind transfer” on Grandma. But before too long, Dad’s sniffing round to get it on with the great-shaped avatar.",9,"[9, 9]","[9, 9, 9]",8,0,0,0
mmimdb/images/408360.jpg,"Under the oppressive Japanese colonial rule, Deok-hye, the last Princess of the declining Joseon Dynasty, is forced to move to Japan. She spends her days missing home, while struggling to maintain dignity as a princess. After a series of failed tries, Deok-hye makes her final attempt to return home with help of her childhood sweetheart, Jang-han.",0,"[0, 0]","[0, 0, 0]",8,0,0,0
mmimdb/images/1512198.jpg,"Feature-length documentary about the rise of Marvel Studios and their films leading up to, and including, The Avengers.",4,"[4, 4]","[4, 4, 4]",7,0,0,0
mmimdb/images/2964.jpg,"The navy captain Avanti Planetaros is inspired by his astronomer-father to travel through outer space to reach other worlds. He becomes an aviator and, along with the young scientist Dr. Krafft, the driving force behind the construction of a space-ship. Despite oppostion from the mocking Professor Dubius, Planetaros gathers a crew of fearless men and takes off. During the long voyage, the crew becomes restless; a mutiny is narrowly avoided. Finally, they reach Mars and discover that the planet is inhabited by people who have reached a higher stage of development, free of diseases, sorrow, violence, sexual urges, and the fear of death. Avanti falls in love with Marya, daughter of the Prince of Wisdom, the head of the Martians. Marya shares his feelings and decides to return with him in order to bring the wisdom of the Martians to the backward Earthlings. (stumfilm.dk)",9,"[9, 9]","[9, 9, 9]",7,0,0,0
mmimdb/images/370765.jpg,"Jessica Darling – a smart, witty, opinionated girl heading into 7th grade – was never too concerned about where she'd fit in the middle school hierarchy. But before her first day of school, her older sister — the super popular Bethany, now in college—decides to help out by giving her the “It List”—a cheat sheet on how to navigate the middle school maze and rise to the top of the popularity chain. The instructions appear simple enough to follow, but, like life, nothing is as easy as it seems.",5,"[5, 5]","[5, 5, 5]",2,0,0,0
mmimdb/images/965222.jpg,"A visually stunning narrative documentary, NAKED GARDENS immerses audiences in the complex, unseen world of a family nudist resort in the Florida Everglades. Filmed over one season at this lush tropical campsite, the film follows the stories of individuals drawn to an unusual community, which promises both non-conformist values and, more importantly for some, a cheap place to live. As aging owner Morley and his residents prepare for the largest gathering of nudists in the US, the Mid-Winter Naturist Festival, they are faced with challenges both as a community and as individuals.",4,"[4, 4]","[4, 4, 4]",5,0,0,0
mmimdb/images/499338.jpg,A 9 year old boy experiences God's power in a supernatural way.,5,"[5, 5]","[5, 5, 5]",2,0,0,0
